name,brand,accords,notes,price
Dior Sauvage,Christian Dior,fresh spicy; citrus; aromatic,bergamot; pepper; ambroxan,95
Bleu de Chanel,Chanel,citrus; woody; aromatic,grapefruit; incense; cedar,110
Versace Dylan Blue,Versace,citrus; aquatic; aromatic,calabrian bergamot; watery notes; patchouli,70
Armaf Club de Nuit Intense Man,Armaf,citrus; smoky; woody,lemon; birch; ambergris,40
Creed Aventus,Creed,fruity; smoky; woody,pineapple; birch; musk,260
YSL La Nuit de l'Homme,Yves Saint Laurent,warm spicy; aromatic; woody,cardamom; lavender; cedar,85
Tom Ford Black Orchid,Tom Ford,earthy; sweet; floral,black truffle; orchid; patchouli,120
Xerjoff Naxos,Xerjoff,warm spicy; sweet; tobacco,honey; tobacco; lavender,220
Lattafa Asad,Lattafa,warm spicy; sweet; vanilla,black pepper; vanilla; amber,35
Louis Vuitton Imagination,Louis Vuitton,citrus; fresh; musky,calabrian bergamot; neroli; ambrox,200
Oud Satin Mood,Maison Francis Kurkdjian,rose; oud; sweet,damask rose; oud; benzoin,280
Ombre Nomade,Louis Vuitton,oud; smoky; amber,agarwood; incense; raspberry,305
Janan Platinum,J.,citrus; fresh; musky,calabrian bergamot; neroli,40
Janan Oud,J.,oud; smoky; amber,agarwood; incense; raspberry,40